almepro-library 0.98.2-(kendra) $Id$

system : i586-pc-linux-gnu
term   : xterm                ws_col: 110
binary : ./debug              status: symbols ok

__ file:no __ addr__ <symb+off>  __________________________ call ___________ [base] ________ byte __ total

apg.par.c:145 0x8048d38 <ioctl_buffer+56>:  ______________  call <malloc>    [0x804ebc8]        5        5
apg.par.c:151 0x8048d8d <ioctl_buffer+141>:  _____________  call <realloc>   [0x804f850]      262      267
apg.par.c:317 0x80490e0 <get_token+56>:  _________________  call <calloc>    [0x804f990]      261      528
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804eba8]       24      552
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      556
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      556
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      556
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      556
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804fb30]       24      580
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      580
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      580
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      580
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804ec10]       24      604
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      604
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      604
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      604
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804fb88]       24      628
apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4      628
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804fbe8]       24      652
apg.par.c:501 0x8049686 <ymalloc+18>:  ___________________  call <malloc>    [0x804fc48]       10      662
apg.par.c:484 0x804962a <alloc_seg_t+26>:  _______________  call <malloc>    [0x804fca8]        8      670
apg.par.c:501 0x8049686 <ymalloc+18>:  ___________________  call <malloc>    [0x804fce8]       16      686
apg.par.c:484 0x804962a <alloc_seg_t+26>:  _______________  call <malloc>    [0x804fd00]        8      694
apg.par.c:369 0x804927e <alloc_segment+58>:  _____________  call <calloc>    [0x804fd98]       24      718
apg.par.c:501 0x8049686 <ymalloc+18>:  ___________________  call <malloc>    [0x804fdd8]       25      743
apg.par.c:484 0x804962a <alloc_seg_t+26>:  _______________  call <malloc>    [0x804fe30]        8      751
apg.par.c:548 0x80497bb <proc_string+67>:  _______________  call <realloc>   [0x804fe88]       25      776
apg.par.c:501 0x8049686 <ymalloc+18>:  ___________________  call <malloc>    [0x804fea8]        5      781
apg.par.c:484 0x804962a <alloc_seg_t+26>:  _______________  call <malloc>    [0x804ff38]        8      789
apg.par.c:548 0x80497bb <proc_string+67>:  _______________  call <realloc>   [0x804fe88]        5      769
apg.par.c:691 0x8049f85 <token_analysis+1733>:  __________  call <malloc>    [0x804ff78]       32      801
apg.par.c:718 0x804a15b <token_analysis+2203>:  __________  call <regfree>   [0x804ff78]      -32      769
apg.par.c:1168 0x804af28 <apg_parser+1532>:  _____________  call <free>      [0x804f990]     -261      508
apg.par.c:168 0x8048e59 <ioctl_buffer+345>:  _____________  call <free>      [0x804ebc8]       -5      503
apg.par.c:172 0x8048e87 <ioctl_buffer+391>:  _____________  call <free>      [0x804f850]     -262      241
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804eba8]      -24      217
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804fb30]      -24      193
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804ec10]      -24      169
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804fb88]      -24      145
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804fbe8]      -24      121
apg.par.c:899 0x804a803 <apg_free_grill+55>:  ____________  call <free>      [0x804fd98]      -24       97
apg.par.c:913 0x804a842 <apg_free_pragma+42>:  ___________  call <free>      [0x804fc48]      -10       87
apg.par.c:915 0x804a858 <apg_free_pragma+64>:  ___________  call <free>      [0x804fca8]       -8       79
apg.par.c:913 0x804a842 <apg_free_pragma+42>:  ___________  call <free>      [0x804fce8]      -16       63
apg.par.c:915 0x804a858 <apg_free_pragma+64>:  ___________  call <free>      [0x804fd00]       -8       55
apg.par.c:913 0x804a842 <apg_free_pragma+42>:  ___________  call <free>      [0x804fdd8]      -25       30
apg.par.c:915 0x804a858 <apg_free_pragma+64>:  ___________  call <free>      [0x804fe30]       -8       22
apg.par.c:913 0x804a842 <apg_free_pragma+42>:  ___________  call <free>      [0x804fea8]       -5       17
apg.par.c:915 0x804a858 <apg_free_pragma+64>:  ___________  call <free>      [0x804ff38]       -8        9

___ almepro summary ___

apg.par.c:612 0x8049a5d <token_analysis+413>:  ___________  call <realloc>   [0x804fae8]        4        9
apg.par.c:548 0x80497bb <proc_string+67>:  _______________  call <realloc>   [0x804fe88]        5        9
